[2018/01/22 18:16:48] , 1.666
[2018/01/22 18:16:49] , 0.769
[2018/01/22 18:16:50] , 0.599
[2018/01/22 18:16:50] , 0.615
[2018/01/22 18:16:51] , 0.597
[2018/01/22 18:16:51] , 0.633
[2018/01/22 18:16:52] , 0.572
[2018/01/22 18:16:53] , 0.608
[2018/01/22 18:16:53] , 0.62
[2018/01/22 18:16:54] , 0.506
[2018/01/22 18:16:54] , 0.602
[2018/01/22 18:16:55] , 0.596
[2018/01/22 18:16:56] , 0.609
[2018/01/22 18:16:56] , 0.617
[2018/01/22 18:16:57] , 0.594
[2018/01/22 18:16:57] , 0.609
[2018/01/22 18:16:58] , 0.616
[2018/01/22 18:16:59] , 0.575
[2018/01/22 18:16:59] , 0.602
[2018/01/22 18:17:00] , 0.613
[2018/01/22 18:17:01] , 0.612
[2018/01/22 18:17:01] , 0.606
[2018/01/22 18:17:02] , 0.597
[2018/01/22 18:17:02] , 0.597
[2018/01/22 18:17:03] , 0.616
[2018/01/22 18:17:04] , 0.594
[2018/01/22 18:19:01] , 7.251
[2018/01/22 18:23:20] , 5.388
[2018/01/22 18:23:51] , 6.318
[2018/01/22 18:24:00] , 8.37
[2018/01/22 18:40:46] , 6.552
[2018/01/22 18:41:48] , 8.606
[2018/01/22 18:41:57] , 8.418
[2018/01/22 18:42:05] , 8.423
[2018/01/22 18:42:14] , 8.414
[2018/01/23 09:43:23] , 8.414
[2018/01/23 09:43:32] , 8.396
[2018/01/23 09:43:55] , 22.882
[2018/01/23 09:44:10] , 15.384
[2018/01/23 09:47:43] , 8.908
[2018/01/23 09:47:51] , 8.408
[2018/01/23 09:48:12] , 20.652
[2018/01/23 09:48:23] , 11.234
[2018/01/23 09:48:32] , 8.425
[2018/01/23 09:48:40] , 8.403
[2018/01/23 10:00:01] , 6.282
[2018/01/23 10:00:10] , 8.4
[2018/01/23 10:00:18] , 8.381
[2018/01/23 10:00:26] , 8.387
[2018/01/23 10:00:35] , 8.371
[2018/01/23 10:00:43] , 8.373
[2018/01/23 10:10:12] , 8.362
[2018/01/23 10:10:20] , 8.385
[2018/01/23 10:15:39] , 6.185
[2018/01/23 10:16:00] , 20.826
[2018/01/23 10:16:11] , 10.999
[2018/01/23 10:16:15] , 4.216
[2018/01/23 10:16:23] , 8.395
[2018/01/23 10:33:32] , 6.193
[2018/01/23 10:33:45] , 6.489
[2018/01/23 10:33:53] , 8.388
[2018/01/23 10:35:46] , 6.63
[2018/01/23 10:36:01] , 7.578
[2018/01/23 10:38:11] , 5.387
